City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
22,Puerto Leguizamo,CO,70.45,overcast clouds,-0.1934,-74.7819,la casona de juancho
27,Vila Velha,BR,71.55,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
62,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Belmonte,BR,72.82,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
96,Fukue,JP,71.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
101,Touros,BR,74.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
104,Carbondale,US,74.05,clear sky,37.7273,-89.2168,Best Western Saluki Inn
105,Najran,SA,74.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
107,Kutum,SD,73.89,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
116,Hervey Bay,AU,71.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
126,Cabedelo,BR,72.27,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
130,Linqiong,CN,73.22,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
139,Arraial Do Cabo,BR,71.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
175,Sao Filipe,CV,74.35,few clouds,14.8961,-24.4956,Hotel Xaguate
184,Cedar City,US,74.37,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
186,Manta,EC,73.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
198,Maceio,BR,72.84,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
205,Sao Joao Da Barra,BR,72.3,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
216,Mabaruma,GY,74.39,broken clouds,8.2,-59.7833,Monty Brooms Guest House
219,Apomu,NG,72.45,overcast clouds,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
222,Xuddur,SO,71.76,broken clouds,4.1213,43.8894,Banjanay Hotel
238,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
242,Vila Do Maio,CV,74.19,few clouds,15.1333,-23.2167,Hotel Marilu
246,Katsuura,JP,74.05,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
