City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,54.48,71,100,2.89,overcast clouds
1,Hobart,AU,-42.8794,147.3294,48.25,96,75,12.66,fog
2,Burns Lake,CA,54.2331,-125.7533,49.42,58,100,8.46,overcast clouds
3,Khatanga,RU,71.9667,102.5,34.29,81,85,14.18,overcast clouds
4,Shibetsu,JP,43.659,145.132,54.3,66,75,11.5,broken clouds
5,Sawtell,AU,-30.3833,153.1,64.42,59,2,10.36,clear sky
6,Rawson,AR,-43.3002,-65.1023,41.79,57,63,20.65,broken clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,10.36,broken clouds
8,Kodiak,US,57.79,-152.4072,65.71,42,0,5.75,clear sky
9,Busselton,AU,-33.65,115.3333,58.19,56,98,16.67,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,37.06,75,75,25.32,broken clouds
11,Santa Cruz,BO,-17.8,-63.1667,76.46,83,20,11.5,few clouds
12,Avarua,CK,-21.2078,-159.775,80.65,74,20,11.5,few clouds
13,Port Hedland,AU,-20.3167,118.5667,68.05,94,100,17.27,light rain
14,Mount Gambier,AU,-37.8333,140.7667,48.2,83,100,4.63,overcast clouds
15,Salalah,OM,17.0151,54.0924,82.49,78,75,2.3,broken clouds
16,Callaguip,PH,18.0714,120.4867,84.22,79,20,4.61,few clouds
17,Nioro,GM,13.35,-15.75,84.27,58,100,8.19,light rain
18,Inongo,CD,-1.95,18.2667,68.77,97,98,3.02,overcast clouds
19,Micomeseng,GQ,2.1462,10.6164,69.46,99,72,1.03,broken clouds
20,Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,9.22,scattered clouds
21,Cape Town,ZA,-33.9258,18.4232,61.88,88,75,16.11,light rain
22,Puerto Leguizamo,CO,-0.1934,-74.7819,70.45,99,91,2.91,overcast clouds
23,Pastavy,BY,55.1168,26.8326,38.57,96,20,6.82,few clouds
24,Ibra,OM,22.6906,58.5334,79.7,55,0,4.52,clear sky
25,Namie,JP,37.4833,141.0,76.55,45,0,1.01,clear sky
26,Dehloran,IR,32.6941,47.2679,83.46,12,0,7.27,clear sky
27,Vila Velha,BR,-20.3297,-40.2925,71.55,90,40,3.44,scattered clouds
28,Provideniya,RU,64.3833,-173.3,45.16,73,31,6.29,scattered clouds
29,Great Falls,US,47.5002,-111.3008,63.66,35,100,4.61,overcast clouds
30,Zaozerne,UA,45.1582,33.2787,60.57,79,63,6.8,broken clouds
31,Nicolas Bravo,MX,18.45,-88.9167,76.62,87,100,3.69,overcast clouds
32,Hilo,US,19.7297,-155.09,84.27,80,100,13.8,overcast clouds
33,San Cristobal,VE,7.7669,-72.225,67.32,86,43,2.77,scattered clouds
34,Narsaq,GL,60.9167,-46.05,53.82,63,20,1.74,few clouds
35,Tashla,RU,51.7716,52.7427,60.93,75,58,7.38,broken clouds
36,Port Alfred,ZA,-33.5906,26.891,56.17,91,3,3.0,clear sky
37,Bluff,NZ,-46.6,168.3333,54.81,74,100,6.91,overcast clouds
38,Miles City,US,46.4083,-105.8406,56.37,94,100,9.22,mist
39,Fairbanks,US,64.8378,-147.7164,75.49,27,20,6.91,few clouds
40,Lebu,CL,-37.6167,-73.65,45.64,68,5,12.37,clear sky
41,Agadez,NE,19.75,10.25,88.3,11,3,9.6,clear sky
42,Tasiilaq,GL,65.6145,-37.6368,39.36,96,100,24.34,moderate rain
43,Saint George,US,37.1041,-113.5841,90.63,13,0,16.11,clear sky
44,Sovetskiy,RU,61.3614,63.5842,49.82,95,75,5.37,broken clouds
45,Geraldton,AU,-28.7667,114.6,57.61,72,40,17.27,scattered clouds
46,Srednekolymsk,RU,67.45,153.6833,53.91,36,91,3.91,overcast clouds
47,Victoria,HK,22.2855,114.1577,86.25,81,53,5.99,broken clouds
48,Nivala,FI,63.9167,24.9667,44.69,94,94,4.36,overcast clouds
49,Kapaa,US,22.0752,-159.319,80.58,81,100,12.66,overcast clouds
50,Pevek,RU,69.7008,170.3133,31.17,71,85,2.59,overcast clouds
51,Beloha,MG,-25.1667,45.05,61.61,87,0,9.33,clear sky
52,Carnarvon,AU,-24.8667,113.6333,66.45,66,100,23.67,overcast clouds
53,Thompson,CA,55.7435,-97.8558,59.16,44,75,6.91,broken clouds
54,Ginir,ET,7.1333,40.7,55.38,92,36,4.18,light rain
55,Cidreira,BR,-30.1811,-50.2056,64.53,96,100,13.67,light rain
56,Awbari,LY,26.5921,12.7805,79.97,14,0,7.18,clear sky
57,San Carlos,VE,9.6612,-68.5827,75.94,68,44,3.56,scattered clouds
58,Timaru,NZ,-44.4,171.25,49.06,96,72,1.61,broken clouds
59,Yellowknife,CA,62.456,-114.3525,61.32,33,40,17.27,scattered clouds
60,Kamina,CD,-8.7386,24.9906,61.7,61,56,2.21,broken clouds
61,Blankenberge,BE,51.3131,3.1323,51.96,66,21,4.0,few clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,72.55,85,67,5.99,broken clouds
63,Karauli,IN,26.5,77.0167,90.18,40,1,16.02,clear sky
64,Ahuimanu,US,21.4447,-157.8378,83.91,69,100,19.57,light rain
65,Upernavik,GL,72.7868,-56.1549,26.96,85,98,10.22,overcast clouds
66,Prince Rupert,CA,54.3161,-130.3201,57.29,79,100,8.05,overcast clouds
67,Qaanaaq,GL,77.484,-69.3632,20.16,73,14,7.38,few clouds
68,Kikwit,CD,-5.041,18.8162,69.6,96,81,1.81,broken clouds
69,Laguna,US,38.421,-121.4238,79.14,44,0,23.02,clear sky
70,Castro,BR,-24.7911,-50.0119,56.52,85,5,4.32,clear sky
71,Nikolskoye,RU,59.7035,30.7861,47.71,97,100,3.83,overcast clouds
72,Zyryanka,RU,65.75,150.85,57.9,40,17,3.42,few clouds
73,Severo-Kurilsk,RU,50.6789,156.125,42.12,94,100,14.03,overcast clouds
74,Bilibino,RU,68.0546,166.4372,46.9,38,91,8.9,overcast clouds
75,Aswan,EG,24.0934,32.907,82.15,21,0,8.1,clear sky
76,Avera,US,33.194,-82.5271,78.31,54,1,1.83,clear sky
77,Svodin,SK,47.9105,18.4997,53.13,56,100,1.07,overcast clouds
78,Hithadhoo,MV,-0.6,73.0833,83.39,70,19,10.22,few clouds
79,Prudy,RU,57.5738,46.2718,44.2,98,66,9.71,broken clouds
80,Bredasdorp,ZA,-34.5322,20.0403,56.55,73,100,10.83,overcast clouds
81,Ahipara,NZ,-35.1667,173.1667,61.63,88,100,19.77,moderate rain
82,Mpigi,UG,0.225,32.3136,61.92,96,100,2.3,light rain
